"","secchi_id","sampling_id","secchi_time","cline_finder","observer","secchi_depth","view_type","plants","hit_bottom","sky_code","wave_code"
"1",64,124,"12:30:00",NA,"RE",4.55,TRUE,FALSE,FALSE,"3","1"
"2",66,132,"14:40:00",NA,"r edwards",4.04,TRUE,FALSE,FALSE,"2","1"
"3",67,136,"15:18:00",NA,"EAS",2.25,FALSE,FALSE,FALSE,"3","2"
"4",68,144,"14:30:00",NA,"Jnorman",3.5,FALSE,FALSE,TRUE,"2","1"
"5",69,145,"16:25:00",NA,"R Edwards",3.05,TRUE,FALSE,FALSE,"3","1"
"6",5,37,"11:00:00","CF0019","Schay",6.5,TRUE,FALSE,FALSE,"1","2"
"7",6,38,"12:00:00","CF0019","Schay",7,TRUE,FALSE,FALSE,"1","1"
"8",7,39,"10:30:00","CR0019","Schay/Dacthler",5.2,TRUE,FALSE,FALSE,"1","2"
"9",70,146,"11:31:00",NA,"Kim Brun",8.555,FALSE,FALSE,FALSE,"1","1"
"10",15,57,"13:00:00",NA,"roger",3.65,TRUE,FALSE,FALSE,"3","1"
"11",16,57,"13:00:00",NA,"carol",3.65,TRUE,FALSE,FALSE,"3","1"
"12",17,58,"17:00:00",NA,"roger",3.75,TRUE,TRUE,FALSE,"1","1"
"13",18,58,"17:04:00",NA,"carol",3.57,TRUE,TRUE,FALSE,"1","1"
"14",19,59,"17:15:00",NA,"roger",2.8,TRUE,TRUE,FALSE,"1","1"
"15",20,59,"17:20:00",NA,"carol",2.4,TRUE,TRUE,FALSE,"1","1"
"16",21,60,"11:10:00",NA,"roger",3.3,TRUE,FALSE,FALSE,"3","1"
"17",22,60,"11:13:00",NA,"emily",3.4,TRUE,FALSE,FALSE,"3","1"
"18",23,61,"12:10:00",NA,"roger",2.5,TRUE,FALSE,FALSE,"2","1"
"19",24,61,"12:14:00",NA,"carol",2.5,TRUE,FALSE,FALSE,"2","1"
"20",26,63,"12:50:00",NA,"roger",1.6,TRUE,FALSE,FALSE,"1","1"
"21",27,64,"14:55:00",NA,"roger",1.8,TRUE,FALSE,FALSE,"3","1"
"22",28,64,"14:59:00",NA,"stranger",1.78,TRUE,FALSE,FALSE,"3","1"
"23",29,68,"12:35:00",NA,"Angela",12,TRUE,TRUE,TRUE,"1","3"
"24",31,70,"11:50:00",NA,"Tom Mafera",3.5,TRUE,FALSE,FALSE,"1","1"
"25",30,70,"11:40:00",NA,"Deb Mafera",3.97,TRUE,FALSE,FALSE,"1","1"
"26",32,71,"13:30:00",NA,"Deb Mafera",3.89,TRUE,FALSE,FALSE,"1","1"
"27",33,71,"13:40:00",NA,"Tom Mafera",3.82,TRUE,FALSE,FALSE,"1","1"
"28",35,74,"11:30:00",NA,"Deb Mafera",2.45,TRUE,FALSE,FALSE,"2","1"
"29",34,74,"11:20:00",NA,"Tom Mafera",2.24,TRUE,FALSE,FALSE,"2","1"
"30",36,75,"12:15:00",NA,"Deb Mafera",2.46,TRUE,FALSE,FALSE,"2","1"
"31",37,75,"12:25:00",NA,"Tom Mafera",2.24,TRUE,FALSE,FALSE,"2","1"
"32",38,76,"13:15:00",NA,"Tom Mafera",3.45,TRUE,FALSE,FALSE,"1","1"
"33",39,76,"13:25:00",NA,"Deb Mafera",3.44,TRUE,FALSE,FALSE,"1","1"
"34",41,80,"11:30:00",NA,"S. Geiger",0.86,FALSE,FALSE,FALSE,"2","1"
"35",42,81,"11:35:00",NA,"S. Geiger",1.14,FALSE,FALSE,FALSE,"1","1"
"36",43,84,"14:22:00",NA,"Steve Wille",6.9,FALSE,FALSE,TRUE,"1","1"
"37",44,85,"15:30:00",NA,"Steve Wille",1.1,FALSE,FALSE,TRUE,"1","1"
"38",45,86,"06:58:00",NA,"S Wille",7.8,FALSE,FALSE,TRUE,"1","1"
"39",46,87,"08:09:00",NA,"S Wille",11.6,FALSE,FALSE,TRUE,"1","2"
"40",47,88,"09:16:00",NA,"S Wille",6.5,FALSE,FALSE,TRUE,"3","2"
"41",48,89,"10:01:00",NA,"S Wille",11.1,FALSE,FALSE,TRUE,"3","2"
"42",49,90,"12:40:00",NA,"Bob Wille",7.6,FALSE,FALSE,TRUE,"2","2"
"43",50,92,"13:12:00",NA,"Bob Wille",11,FALSE,FALSE,TRUE,"2","2"
"44",51,93,"10:55:00",NA,"S Wille",11.2,FALSE,FALSE,FALSE,"1","2"
"45",52,95,"11:35:00",NA,"S Wille",4,FALSE,FALSE,TRUE,"1","2"
"46",53,96,"12:15:00",NA,"S Wille",11.5,FALSE,FALSE,TRUE,"2","1"
"47",54,97,"13:02:00",NA,"S Wille",2.8,FALSE,FALSE,TRUE,"2","1"
"48",55,98,"14:42:00",NA,"Bob Wille",9.7,FALSE,FALSE,TRUE,"2","2"
"49",56,99,"15:10:00",NA,"Bob Wille",3.4,FALSE,FALSE,TRUE,"2","2"
"50",57,101,"13:30:00",NA,"S. Geiger",1.52,FALSE,FALSE,FALSE,"1","1"
"51",58,103,"11:30:00",NA,"Isaacson",3.5,TRUE,FALSE,FALSE,"1","2"
"52",59,103,"12:30:00",NA,"Isaacson",3.75,TRUE,FALSE,FALSE,"1","2"
"53",60,111,"11:00:00",NA,"Sherry Ploor",2.4,TRUE,FALSE,FALSE,"1","2"
"54",61,117,"11:45:00",NA,"Rupers/Nokovic",2.4,FALSE,FALSE,FALSE,"1","1"
"55",62,118,"16:37:00",NA,"Sherry Ploor",2.5,TRUE,FALSE,FALSE,"3","1"
"56",63,119,"16:46:00",NA,"Sherry Ploor",2.46,TRUE,FALSE,FALSE,"3","1"
"57",71,146,"11:35:00",NA,"Kim Brun",8.998,FALSE,FALSE,FALSE,"1","1"
"58",72,146,"11:38:00",NA,"Kim Brun",8.951,FALSE,FALSE,FALSE,"1","1"
"59",73,147,"10:40:00",NA,"R Edwards",3.3,TRUE,FALSE,FALSE,"3","2"
"60",74,148,"11:45:00",NA,"Angela",13,FALSE,FALSE,TRUE,"1","2"
"61",75,154,"10:35:00",NA,"Isaacson",3.9,FALSE,FALSE,FALSE,"1","1"
"62",76,158,"12:03:00",NA,"Kim Brun",6.23,FALSE,FALSE,FALSE,"1","2"
"63",77,158,"12:06:00",NA,"Kim Brun",6.12,FALSE,FALSE,FALSE,"1","2"
"64",78,158,"12:10:00",NA,"Kim Brun",5.98,FALSE,FALSE,FALSE,"1","2"
"65",79,162,"12:25:00",NA,"Kim Brun",5.32,FALSE,FALSE,FALSE,"1","3"
"66",80,162,"12:27:00",NA,"Kim Brun",4.9,FALSE,FALSE,FALSE,"1","3"
"67",81,162,"12:30:00",NA,"Kim Brun",5.2,FALSE,FALSE,FALSE,"1","3"
"68",82,163,"16:15:00",NA,"S. Wille",9.6,FALSE,FALSE,TRUE,"1","2"
"69",83,168,"15:22:00",NA,"Emily Stevenson",2.5,FALSE,FALSE,TRUE,"1","2"
"70",84,172,"11:30:00",NA,"Vanessa Morgan",5.85,FALSE,FALSE,FALSE,"1","2"
"71",85,108,"01:24:00",NA,"Briita Orwick",3.6,FALSE,FALSE,FALSE,"2","2"
"72",86,173,"11:35:00",NA,"R Edwards",1.48,TRUE,FALSE,FALSE,"1","1"
"73",87,179,"10:40:00",NA,"Mikeal Jones",5.9,FALSE,FALSE,FALSE,"1","1"
"74",88,182,"11:15:00",NA,"schay",6.5,FALSE,FALSE,FALSE,"1","1"
"75",89,184,"11:00:00",NA,"schay",5,TRUE,FALSE,FALSE,"1","1"
"76",90,185,"11:30:00",NA,"schay",4.5,TRUE,FALSE,FALSE,"1","2"
"77",91,186,"10:20:00",NA,"schay",4.2,TRUE,FALSE,FALSE,"1","1"
"78",92,187,"11:47:00",NA,"Kim Brun",4.86,FALSE,FALSE,FALSE,"1","2"
"79",93,187,"11:52:00",NA,"Kim Brun",5.06,FALSE,FALSE,FALSE,"1","2"
"80",94,187,"11:58:00",NA,"Kim Brun",4.97,FALSE,FALSE,FALSE,"1","2"
"81",95,188,"11:15:00",NA,"schay",6.5,FALSE,FALSE,FALSE,"1","1"
"82",96,193,"12:02:00",NA,"Kim Brun",4.72,FALSE,FALSE,FALSE,"1","3"
"83",97,193,"12:06:00",NA,"Kim Brun",4.85,FALSE,FALSE,FALSE,"1","3"
"84",98,193,"12:11:00",NA,"Kim Brun",4.93,FALSE,FALSE,FALSE,"1","3"
"85",99,192,"12:02:00",NA,"Kim Brun",4.72,FALSE,FALSE,FALSE,"1","3"
"86",100,192,"12:06:00",NA,"Kim Brun",4.85,FALSE,FALSE,FALSE,"1","3"
"87",101,192,"12:11:00",NA,"Kim Brun",4.93,FALSE,FALSE,FALSE,"1","3"
"88",102,198,"12:50:00",NA,"Tom",4.44,FALSE,FALSE,FALSE,"2","3"
"89",103,198,"13:00:00",NA,"Deb",3.5,FALSE,FALSE,FALSE,"2","3"
"90",104,199,"14:30:00",NA,"Tom",3.12,FALSE,FALSE,FALSE,"1","2"
"91",105,199,"14:40:00",NA,"Deb",3.07,FALSE,FALSE,FALSE,"1","2"
"92",106,200,"12:35:00",NA,"Tom",3.5,TRUE,FALSE,FALSE,"4","3"
"93",107,200,"12:40:00",NA,"Deb",3.75,TRUE,FALSE,FALSE,"4","3"
"94",108,201,"13:15:00",NA,"Deb",3.5,TRUE,FALSE,FALSE,"2","2"
"95",109,201,"13:20:00",NA,"Tom",3.48,TRUE,FALSE,FALSE,"2","2"
"96",110,204,"13:40:00",NA,"Deb",3.65,TRUE,FALSE,FALSE,"1","2"
"97",111,204,"13:45:00",NA,"Tom",3.6,TRUE,FALSE,FALSE,"1","2"
"98",112,209,"12:45:00",NA,"Deb",5.15,TRUE,FALSE,FALSE,"1","1"
"99",113,209,"12:50:00",NA,"Tom",5,TRUE,FALSE,FALSE,"1","1"
"100",114,210,"15:10:00",NA,"Deb",4.95,TRUE,FALSE,FALSE,"1","1"
"101",115,210,"15:15:00",NA,"Tom",4.76,TRUE,FALSE,FALSE,"1","1"
"102",116,216,"13:15:00",NA,"Tom",6.17,TRUE,FALSE,FALSE,"1","1"
"103",117,216,"13:20:00",NA,"Deb",5.94,TRUE,FALSE,FALSE,"1","1"
"104",118,222,"11:20:00",NA,"Tom",4.02,TRUE,FALSE,FALSE,"1","1"
"105",119,222,"11:15:00",NA,"Deb",3.92,TRUE,FALSE,FALSE,"1","1"
"106",120,223,"12:45:00",NA,"Deb",3.83,TRUE,FALSE,FALSE,"1","2"
"107",121,223,"12:50:00",NA,"Tom",3.81,TRUE,FALSE,FALSE,"1","2"
"108",122,225,"13:12:00",NA,"Deb",4,TRUE,FALSE,FALSE,"1","2"
"109",123,225,"13:15:00",NA,"Tom",4.26,TRUE,FALSE,FALSE,"1","2"
"110",124,232,"11:00:00",NA,"Tom",5.73,TRUE,FALSE,FALSE,"1","1"
"111",125,232,"11:05:00",NA,"Deb",5.36,TRUE,FALSE,FALSE,"1","1"
"112",126,233,"12:10:00",NA,"Tom",2.82,TRUE,FALSE,FALSE,"1","1"
"113",127,233,"12:15:00",NA,"Deb",3.11,TRUE,FALSE,FALSE,"1","1"
"114",128,237,"12:25:00",NA,"Tom",2.58,TRUE,FALSE,FALSE,"1","2"
"115",129,237,"12:30:00",NA,"Deb",2.72,TRUE,FALSE,FALSE,"1","2"
"116",130,244,"02:00:00",NA,"r edwards",3,TRUE,FALSE,FALSE,"3","1"
"117",131,248,"13:00:00",NA,"Gary",12.4,FALSE,FALSE,FALSE,"2","3"
"118",132,249,"14:30:00",NA,"Gary",14,FALSE,FALSE,FALSE,"1","3"
"119",133,250,"11:45:00",NA,"Isaacson",1.4,FALSE,FALSE,FALSE,"1","3"
"120",134,251,"14:00:00",NA,"Gary",16,FALSE,FALSE,FALSE,"1","1"
"121",135,252,"14:30:00",NA,"Gary",16,FALSE,FALSE,FALSE,"1","1"
"122",136,253,"13:25:00",NA,"R Edwards",1.8,TRUE,FALSE,FALSE,"2","1"
"123",137,256,"12:00:00",NA,"Angela",11,FALSE,FALSE,FALSE,"3","2"
"124",138,260,"12:54:00",NA,"Steve Wille",5.9,FALSE,FALSE,TRUE,"1","2"
"125",139,261,"16:55:00",NA,"Steve Wille",11.7,FALSE,FALSE,TRUE,"1","2"
"126",140,262,"18:15:00",NA,"steve wille",11.3,FALSE,FALSE,TRUE,"1","2"
"127",141,263,"19:04:00",NA,"steve wille",4.5,FALSE,FALSE,TRUE,"1","1"
"128",142,264,"13:28:00",NA,"steve wille",10.2,FALSE,FALSE,TRUE,"1","2"
"129",143,265,"15:27:00",NA,"steve wille",11.3,FALSE,FALSE,TRUE,"1","2"
"130",144,266,"16:05:00",NA,"steve wille",3.2,FALSE,FALSE,TRUE,"1","1"
"131",145,267,"14:40:00",NA,"R Edwards",2.75,TRUE,FALSE,FALSE,"1","3"
